QuestionID,Difficulty_Points,Question,Keywords,Answer,Category,Language,Challenge,StarterCode,ExpectedOutput
261,15,What is a function in C?,"""function, C, reusable block of code, task, return value""",A function in C is a reusable block of code that performs a specific task and can return a value.,c,English,FALSE,,
262,15,What is a header file in C?,"""header file, C, function definitions, macros, #include""",A header file in C contains function definitions and macros that are included in other files using the #include directive.,c,English,FALSE,,
263,15,¿Cómo se declara una variable en C++?,"""declarar variable, C++, tipo de dato, nombre, sintaxis""","En C++, una variable se declara especificando primero el tipo de dato seguido del nombre de la variable.",c++,Spanish,FALSE,,
264,15,¿Cómo se imprime texto en la consola en C++?,"""imprimir texto, C++, std::cout, operador <<, consola""","En C++, se utiliza std::cout junto con el operador << para imprimir texto en la consola.",c++,Spanish,FALSE,,
265,15,¿Qué es un puntero en C++?,"""puntero, C++, dirección de memoria, variable, apuntador""",Un puntero es una variable que almacena la dirección de memoria de otra variable.,c++,Spanish,FALSE,,
266,15,¿Qué es un array en C++?,"""array, C++, colección, elementos, tipo de dato, memoria contigua""",Un array en C++ es una colección de elementos del mismo tipo de dato almacenados en ubicaciones contiguas en memoria.,c++,Spanish,FALSE,,
267,15,¿Cómo se escribe un comentario de una sola línea en C++?,"""comentario de una sola línea, C++, //, sintaxis, comentario""",Un comentario de una sola línea en C++ se escribe usando // al inicio de la línea.,c++,Spanish,FALSE,,
268,15,¿Qué es un ciclo for en C++?,"""ciclo for, C++, iterar, bloque de código, número de veces""",Un ciclo for en C++ se utiliza para iterar un bloque de código un número determinado de veces.,c++,Spanish,FALSE,,
269,15,¿Qué es un if en C++?,"""if, C++, estructura condicional, bloque de código, condición verdadera""",Un if en C++ es una estructura condicional que ejecuta un bloque de código si una condición es verdadera.,c++,Spanish,FALSE,,
270,15,¿Qué es un bucle while en C++?,"""bucle while, C++, repetir, condición verdadera, bloque de código""",Un bucle while en C++ repite un bloque de código mientras una condición sea verdadera.,c++,Spanish,FALSE,,
271,15,¿Qué es una función en C++?,"""función, C++, bloque de código, reutilizable, tarea, retornar valor""",Una función en C++ es un bloque de código reutilizable que realiza una tarea específica y puede retornar un valor.,c++,Spanish,FALSE,,
272,15,¿Qué es un archivo de cabecera en C++?,"""archivo de cabecera, C++, definiciones, funciones, macros, #include""",Un archivo de cabecera en C++ contiene definiciones de funciones y macros que se incluyen en otros archivos mediante la directiva #include.,c++,Spanish,FALSE,,
273,15,How do you declare a variable in C++?,"""declare variable, C++, data type, name, syntax""","In C++, a variable is declared by specifying the data type first, followed by the variable name.",c++,English,FALSE,,
274,15,How do you print text to the console in C++?,"""print text, C++, std::cout, operator <<, console""","In C++, std::cout along with the << operator is used to print text to the console.",c++,English,FALSE,,
275,15,What is a pointer in C++?,"""pointer, C++, memory address, variable, reference""",A pointer is a variable that stores the memory address of another variable.,c++,English,FALSE,,
276,15,What is an array in C++?,"""array, C++, collection, elements, data type, contiguous memory""",An array in C++ is a collection of elements of the same data type stored in contiguous memory locations.,c++,English,FALSE,,
277,15,How do you write a single-line comment in C++?,"""single-line comment, C++, //, syntax, comment""",A single-line comment in C++ is written using // at the beginning of the line.,c++,English,FALSE,,
278,15,What is a for loop in C++?,"""for loop, C++, iterate, block of code, specified number of times""",A for loop in C++ is used to iterate over a block of code a specified number of times.,c++,English,FALSE,,
279,15,What is an if statement in C++?,"""if statement, C++, conditional structure, block of code, true condition""",An if statement in C++ is a conditional structure that executes a block of code if a condition is true.,c++,English,FALSE,,
280,15,A while loop in C++ repeats a block of code as long as a condition is true.,"""while loop, C++, repeat, true condition, block of code""",A while loop in C++ repeats a block of code as long as a condition is true.,c++,English,FALSE,,
281,15,What is a function in C++?,"""function, C++, reusable block of code, task, return value""",A function in C++ is a reusable block of code that performs a specific task and can return a value.,c++,English,FALSE,,
282,15,What is a header file in C++?,"""header file, C++, function definitions, macros, #include""",A header file in C++ contains function definitions and macros that are included in other files using the #include directive.,c++,English,FALSE,,
283,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 8;
int y = 3;
printf(""%d"", x / y);
","""2""",2,c,Spanish,FALSE,,
284,25,"¿Cuál es el resultado de la ejecución de este código?
char name[] = ""Luis"";
printf(""Hola, %s"", name);
","""Hola, Luis""","""Hola, Luis""",c,Spanish,FALSE,,
285,25,"¿Cuál es el resultado de la ejecución de este código?
int result = 6 < 10;
printf(""%d"", result);
","""1, true""",1,c,Spanish,FALSE,,
286,25,"¿Cuál es el resultado de la ejecución de este código?
int arr[] = {2, 4, 6, 8};
printf(""%d"", arr[3]);
","""8""",8,c,Spanish,FALSE,,
287,25,"¿Cuál es el resultado de la ejecución de este código?
float x = 5.7;
int y = (int)x;
printf(""%d"", y);
","""5""",5,c,Spanish,FALSE,,
288,25,"¿Cuál es el resultado de la ejecución de este código?
int a = 10;
int b = 4;
printf(""%d"", a % b);
","""2""",2,c,Spanish,FALSE,,
289,25,"¿Cuál es el resultado de la ejecución de este código?
char str[] = ""Code"";
printf(""%d"", sizeof(str));
","""5""",5,c,Spanish,FALSE,,
290,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 5;
x += 10;
printf(""%d"", x);
","""15""",15,c,Spanish,FALSE,,
291,25,"¿Cuál es el resultado de la ejecución de este código?
char colors[3][10] = {""red"", ""blue"", ""green""};
printf(""%s"", colors[1]);
","""blue""","""blue""",c,Spanish,FALSE,,
292,25,"¿Cuál es el resultado de la ejecución de este código?
int a = 0;
if(a)
    printf(""True"");
else
    printf(""False"");
","""false, 0""","""False""",c,Spanish,FALSE,,
293,25,"What is the result of running this code?
int x = 8;
int y = 3;
printf(""%d"", x / y);
","""2""",2,c,English,FALSE,,
294,25,"What is the result of running this code?
char name[] = ""Luis"";
printf(""Hola, %s"", name);
","""Hola, Luis""","""Hola, Luis""",c,English,FALSE,,
295,25,"What is the result of running this code?
int result = 6 < 10;
printf(""%d"", result);
","""1, true""",1,c,English,FALSE,,
296,25,"What is the result of running this code?
int arr[] = {2, 4, 6, 8};
printf(""%d"", arr[3]);
","""8""",8,c,English,FALSE,,
297,25,"What is the result of running this code?
float x = 5.7;
int y = (int)x;
printf(""%d"", y);
","""5""",5,c,English,FALSE,,
298,25,"What is the result of running this code?
int a = 10;
int b = 4;
printf(""%d"", a % b);
","""2""",2,c,English,FALSE,,
299,25,"What is the result of running this code?
char str[] = ""Code"";
printf(""%d"", sizeof(str));
","""5""",5,c,English,FALSE,,
300,25,"What is the result of running this code?
int x = 5;
x += 10;
printf(""%d"", x);
","""15""",15,c,English,FALSE,,
301,25,"What is the result of running this code?
char colors[3][10] = {""red"", ""blue"", ""green""};
printf(""%s"", colors[1]);
","""blue""","""blue""",c,English,FALSE,,
302,25,"What is the result of running this code?
int a = 0;
if(a)
    printf(""True"");
else
    printf(""False"");
","""false, 0""","""False""",c,English,FALSE,,
303,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 9;
int y = 2;
std::cout << x / y;
","""4""",4,c++,Spanish,FALSE,,
304,25,"¿Cuál es el resultado de la ejecución de este código?
std::string name = ""Sofia"";
std::cout << ""Hello, "" << name;
","""Hello, Sofia""","""Hello, Sofia""",c++,Spanish,FALSE,,
305,25,"¿Cuál es el resultado de la ejecución de este código?
bool result = (8 > 5);
std::cout << result;
","""1, true""",1,c++,Spanish,FALSE,,
306,25,"¿Cuál es el resultado de la ejecución de este código?
int arr[] = {10, 20, 30, 40};
std::cout << arr[1];
","""20""",20,c++,Spanish,FALSE,,
307,25,"¿Cuál es el resultado de la ejecución de este código?
double pi = 3.14159;
int intPi = static_cast<int>(pi);
std::cout << intPi;
","""3""",3,c++,Spanish,FALSE,,
308,25,"¿Cuál es el resultado de la ejecución de este código?
int a = 7;
int b = 4;
std::cout << a % b;
","""3""",3,c++,Spanish,FALSE,,
309,25,"¿Cuál es el resultado de la ejecución de este código?
std::string str = ""C++"";
std::cout << str.length();
","""3""",3,c++,Spanish,FALSE,,
310,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 6;
x *= 3;
std::cout << x;
","""18""",18,c++,Spanish,FALSE,,
311,25,"¿Cuál es el resultado de la ejecución de este código?
std::string colors[] = {""red"", ""green"", ""blue""};
std::cout << colors[2];
","""blue""","""blue""",c++,Spanish,FALSE,,
312,25,"¿Cuál es el resultado de la ejecución de este código?
bool isTrue = false;
std::cout << (isTrue ? ""Yes"" : ""No"");
","""No""","""No""",c++,Spanish,FALSE,,
313,25,"What is the result of running this code?
int x = 9;
int y = 2;
std::cout << x / y;
","""4""",4,c++,English,FALSE,,
314,25,"What is the result of running this code?
std::string name = ""Sofia"";
std::cout << ""Hello, "" << name;
","""Hello, Sofia""","""Hello, Sofia""",c++,English,FALSE,,
315,25,"What is the result of running this code?
bool result = (8 > 5);
std::cout << result;
","""1, true""",1,c++,English,FALSE,,
316,25,"What is the result of running this code?
int arr[] = {10, 20, 30, 40};
std::cout << arr[1];
","""20""",20,c++,English,FALSE,,
317,25,"What is the result of running this code?
double pi = 3.14159;
int intPi = static_cast<int>(pi);
std::cout << intPi;
","""3""",3,c++,English,FALSE,,
318,25,"What is the result of running this code?
int a = 7;
int b = 4;
std::cout << a % b;
","""3""",3,c++,English,FALSE,,
319,25,"What is the result of running this code?
std::string str = ""C++"";
std::cout << str.length();
","""3""",3,c++,English,FALSE,,
320,25,"What is the result of running this code?
int x = 6;
x *= 3;
std::cout << x;
","""18""",18,c++,English,FALSE,,
321,25,"What is the result of running this code?
std::string colors[] = {""red"", ""green"", ""blue""};
std::cout << colors[2];
","""blue""","""blue""",c++,English,FALSE,,
322,25,"What is the result of running this code?
bool isTrue = false;
std::cout << (isTrue ? ""Yes"" : ""No"");
","""No""","""No""",c++,English,FALSE,,
323,25,"¿Cuál es el resultado de la ejecución de este código?
x = 10
y = 4
print(x // y)
","""2""",2,python,Spanish,FALSE,,
324,25,"¿Cuál es el resultado de la ejecución de este código?
name = ""Ana""
print(f""Hola, {name}"")
","""Hola, Ana""","""Hola, Ana""",python,Spanish,FALSE,,
325,25,"¿Cuál es el resultado de la ejecución de este código?
result = 3 < 5
print(result)
","""true""","""True""",python,Spanish,FALSE,,
326,25,"¿Cuál es el resultado de la ejecución de este código?
lista = [4, 6, 8, 10]
print(lista[2])
","""8""",8,python,Spanish,FALSE,,
327,25,"¿Cuál es el resultado de la ejecución de este código?
x = 7.8
y = int(x)
print(y)
","""7""",7,python,Spanish,FALSE,,
328,25,"¿Cuál es el resultado de la ejecución de este código?
x = 3
y = 5
z = 7
print(x + y * z)
","""38""",38,python,Spanish,FALSE,,
329,25,"¿Cuál es el resultado de la ejecución de este código?
s = ""Python""
print(s.upper())
","""PYTHON""","""PYTHON""",python,Spanish,FALSE,,
330,25,"¿Cuál es el resultado de la ejecución de este código?
x = 15
x %= 4
print(x)
","""3""",3,python,Spanish,FALSE,,
331,25,"¿Cuál es el resultado de la ejecución de este código?
colores = [""rojo"", ""azul"", ""verde""]
print(len(colores))
","""3""",3,python,Spanish,FALSE,,
332,25,"¿Cuál es el resultado de la ejecución de este código?
a = True
b = False
print(a or b)
","""true""","""True""",python,Spanish,FALSE,,
333,25,"What is the result of running this code?
x = 10
y = 4
print(x // y)
","""2""",2,python,English,FALSE,,
334,25,"What is the result of running this code?
name = ""Ana""
print(f""Hola, {name}"")
","""Hola, Ana""","""Hola, Ana""",python,English,FALSE,,
335,25,"What is the result of running this code?
result = 3 < 5
print(result)
","""true""","""True""",python,English,FALSE,,
336,25,"What is the result of running this code?
lista = [4, 6, 8, 10]
print(lista[2])
","""8""",8,python,English,FALSE,,
337,25,"What is the result of running this code?
x = 7.8
y = int(x)
print(y)
","""7""",7,python,English,FALSE,,
338,25,"What is the result of running this code?
x = 3
y = 5
z = 7
print(x + y * z)
","""38""",38,python,English,FALSE,,
339,25,"What is the result of running this code?
s = ""Python""
print(s.upper())
","""PYTHON""","""PYTHON""",python,English,FALSE,,
340,25,"What is the result of running this code?
x = 15
x %= 4
print(x)
","""3""",3,python,English,FALSE,,
341,25,"What is the result of running this code?
colores = [""rojo"", ""azul"", ""verde""]
print(len(colores))
","""3""",3,python,English,FALSE,,
342,25,"What is the result of running this code?
a = True
b = False
print(a or b)
","""true""","""True""",python,English,FALSE,,
343,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 3;
int y = 7;
Console.WriteLine(x * y);
","""21""",21,c#,Spanish,FALSE,,
344,25,"¿Cuál es el resultado de la ejecución de este código?
string name = ""Carlos"";
Console.WriteLine(""Hello, "" + name);
","""Hello, Carlos""","""Hello, Carlos""",c#,Spanish,FALSE,,
345,25,"¿Cuál es el resultado de la ejecución de este código?
bool result = (5 > 3);
Console.WriteLine(result);
","""true""","""true""",c#,Spanish,FALSE,,
346,25,"¿Cuál es el resultado de la ejecución de este código?
int[] numbers = { 10, 20, 30, 40 };
Console.WriteLine(numbers[2]);
","""30""",30,c#,Spanish,FALSE,,
347,25,"¿Cuál es el resultado de la ejecución de este código?
double x = 9.5;
int y = (int)x;
Console.WriteLine(y);
","""9""",9,c#,Spanish,FALSE,,
348,25,"¿Cuál es el resultado de la ejecución de este código?
int a = 10;
int b = 4;
Console.WriteLine(a % b);
","""2""",2,c#,Spanish,FALSE,,
349,25,"¿Cuál es el resultado de la ejecución de este código?
string str = ""C#"";
Console.WriteLine(str.Length);
","""2""",2,c#,Spanish,FALSE,,
350,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 12;
x -= 3;
Console.WriteLine(x);
","""9""",9,c#,Spanish,FALSE,,
351,25,"¿Cuál es el resultado de la ejecución de este código?
string[] colors = { ""red"", ""green"", ""blue"" };
Console.WriteLine(colors[1]);
","""green""","""green""",c#,Spanish,FALSE,,
352,25,"¿Cuál es el resultado de la ejecución de este código?
bool isTrue = true;
bool isFalse = false;
Console.WriteLine(isTrue && isFalse);
","""false""","""false""",c#,Spanish,FALSE,,
353,25,"What is the result of running this code?
int x = 3;
int y = 7;
Console.WriteLine(x * y);
","""21""",21,c#,English,FALSE,,
354,25,"What is the result of running this code?
string name = ""Carlos"";
Console.WriteLine(""Hello, "" + name);
","""Hello, Carlos""","""Hello, Carlos""",c#,English,FALSE,,
355,25,"What is the result of running this code?
bool result = (5 > 3);
Console.WriteLine(result);
","""true""","""true""",c#,English,FALSE,,
356,25,"What is the result of running this code?
int[] numbers = { 10, 20, 30, 40 };
Console.WriteLine(numbers[2]);
","""30""",30,c#,English,FALSE,,
357,25,"What is the result of running this code?
double x = 9.5;
int y = (int)x;
Console.WriteLine(y);
","""9""",9,c#,English,FALSE,,
358,25,"What is the result of running this code?
int a = 10;
int b = 4;
Console.WriteLine(a % b);
","""2""",2,c#,English,FALSE,,
359,25,"What is the result of running this code?
string str = ""C#"";
Console.WriteLine(str.Length);
","""2""",2,c#,English,FALSE,,
360,25,"What is the result of running this code?
int x = 12;
x -= 3;
Console.WriteLine(x);
","""9""",9,c#,English,FALSE,,
361,25,"What is the result of running this code?
string[] colors = { ""red"", ""green"", ""blue"" };
Console.WriteLine(colors[1]);
","""green""","""green""",c#,English,FALSE,,
362,25,"What is the result of running this code?
bool isTrue = true;
bool isFalse = false;
Console.WriteLine(isTrue && isFalse);
","""false""","""false""",c#,English,FALSE,,
363,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 5;
int y = 10;
System.out.println(x + y);
","""15""",15,java,Spanish,FALSE,,
364,25,"¿Cuál es el resultado de la ejecución de este código?
String welcome = ""bienvenido"";
System.out.println(""Hola, "" + welcome);
","""Hola, bienvenido""","""Hola, bienvenido""",java,Spanish,FALSE,,
365,25,"¿Cuál es el resultado de la ejecución de este código?
System.out.println(42 == 42);
","""true""","""true""",java,Spanish,FALSE,,
366,25,"¿Cuál es el resultado de la ejecución de este código?
int[] arr = {1, 2, 3};
System.out.println(arr.length);
","""3""",3,java,Spanish,FALSE,,
367,25,"¿Cuál es el resultado de la ejecución de este código?
boolean result = 5 == 5.0;
System.out.println(result);
","""true""","""true""",java,Spanish,FALSE,,
368,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 5;
int y = 3;
System.out.println(x / y);
","""1""",1,java,Spanish,FALSE,,
369,25,"¿Cuál es el resultado de la ejecución de este código?
String s = null;
System.out.println(s == null);
","""true""","""true""",java,Spanish,FALSE,,
370,25,"¿Cuál es el resultado de la ejecución de este código?
int x = 10;
x += 5;
System.out.println(x);","""15""",15,java,Spanish,FALSE,,
371,25,"¿Cuál es el resultado de la ejecución de este código?
String[] fruits = {""apple"", ""banana""};
System.out.println(fruits[0]);
","""apple""","""apple""",java,Spanish,FALSE,,
372,25,"¿Cuál es el resultado de la ejecución de este código?
boolean b = false;
System.out.println(b ? ""True"" : ""False"");
","""False""","""False""",java,Spanish,FALSE,,
373,25,"What is the result of running this code?
int x = 5;
int y = 10;
System.out.println(x + y);
","""15""",15,java,English,FALSE,,
374,25,"What is the result of running this code?
String welcome = ""bienvenido"";
System.out.println(""Hola, "" + welcome);
","""Hola, bienvenido""","""Hola, bienvenido""",java,English,FALSE,,
375,25,"What is the result of running this code?
System.out.println(42 == 42);
","""true""","""true""",java,English,FALSE,,
376,25,"What is the result of running this code?
int[] arr = {1, 2, 3};
System.out.println(arr.length);
","""3""",3,java,English,FALSE,,
377,25,"What is the result of running this code?
boolean result = 5 == 5.0;
System.out.println(result);
","""true""","""true""",java,English,FALSE,,
378,25,"What is the result of running this code?
int x = 5;
int y = 3;
System.out.println(x / y);
","""1""",1,java,English,FALSE,,
379,25,"What is the result of running this code?
String s = null;
System.out.println(s == null);
","""true""","""true""",java,English,FALSE,,
380,25,"What is the result of running this code?
int x = 10;
x += 5;
System.out.println(x);","""15""",15,java,English,FALSE,,
381,25,"What is the result of running this code?
String[] fruits = {""apple"", ""banana""};
System.out.println(fruits[0]);
","""apple""","""apple""",java,English,FALSE,,
382,25,"What is the result of running this code?
boolean b = false;
System.out.println(b ? ""True"" : ""False"");
","""False""","""False""",java,English,FALSE,,
383,25,"¿Cuál es el resultado de la ejecución de este código?
let x = 5;
let y = 10;
console.log(x + y);
","""15""",15,javascript,Spanish,FALSE,,
384,25,"¿Cuál es el resultado de la ejecución de este código?
let name = ""Coding Coach"";
console.log(""Hola, bienvenido a "" + name);
","""Hola, bienvenido a Coding Coach""","""Hola, bienvenido a Coding Coach""",javascript,Spanish,FALSE,,
385,25,"¿Cuál es el resultado de la ejecución de este código?
console.log(typeof 42);
","""number""","""number""",javascript,Spanish,FALSE,,
386,25,"¿Cuál es el resultado de la ejecución de este código?
let arr = [1, 2, 3];
console.log(arr.length);
","""3""",3,javascript,Spanish,FALSE,,
387,25,"¿Cuál es el resultado de la ejecución de este código?
let result = 5 === ""5"";
console.log(result);
","""false""","""false""",javascript,Spanish,FALSE,,
388,25,"¿Cuál es el resultado de la ejecución de este código?
let x = ""5"";
let y = 5;
console.log(x == y);
","""true""","""true""",javascript,Spanish,FALSE,,
389,25,"¿Cuál es el resultado de la ejecución de este código?
let a = null;
console.log(a === null);
","""true""","""true""",javascript,Spanish,FALSE,,
390,25,"¿Cuál es el resultado de la ejecución de este código?
let x = 10;
x += 5;
console.log(x);
","""15""",15,javascript,Spanish,FALSE,,
391,25,"¿Cuál es el resultado de la ejecución de este código?
let fruits = [""apple"", ""banana""];
console.log(fruits[0]);
","""apple""","""apple""",javascript,Spanish,FALSE,,
392,25,"¿Cuál es el resultado de la ejecución de este código?
let x = 0;
console.log(Boolean(x));
","""false""","""false""",javascript,Spanish,FALSE,,
393,25,"What is the result of running this code?
let x = 5;
let y = 10;
console.log(x + y);
","""15""",15,javascript,English,FALSE,,
394,25,"What is the result of running this code?
let name = ""Coding Coach"";
console.log(""Hello, welcome to "" + name);
","""Hello, welcome to Coding Coach""","""Hello, welcome to Coding Coach""",javascript,English,FALSE,,
395,25,"What is the result of running this code?
console.log(typeof 42);
","""number""","""number""",javascript,English,FALSE,,
396,25,"What is the result of running this code?
let arr = [1, 2, 3];
console.log(arr.length);
","""3""",3,javascript,English,FALSE,,
397,25,"What is the result of running this code?
let result = 5 === ""5"";
console.log(result);
","""false""","""false""",javascript,English,FALSE,,
398,25,"What is the result of running this code?
let x = ""5"";
let y = 5;
console.log(x == y);
","""true""","""true""",javascript,English,FALSE,,
399,25,"What is the result of running this code?
let a = null;
console.log(a === null);
","""true""","""true""",javascript,English,FALSE,,
400,25,"What is the result of running this code?
let x = 10;
x += 5;
console.log(x);
","""15""",15,javascript,English,FALSE,,
401,25,"What is the result of running this code?
let fruits = [""apple"", ""banana""];
console.log(fruits[0]);
","""apple""","""apple""",javascript,English,FALSE,,
402,25,"What is the result of running this code?
let x = 0;
console.log(Boolean(x));
","""false""","""false""",javascript,English,FALSE,,
403,20,¿Cómo se declara una variable en PHP?,"""declarar variable, PHP, símbolo $, nombre de la variable, $""","En PHP, una variable se declara usando el símbolo $ seguido del nombre de la variable.",php,Spanish,FALSE,,
404,20,¿Cómo se imprime texto en PHP?,"""echo, print""","En PHP, el texto se imprime usando echo o print.",php,Spanish,FALSE,,
405,20,¿Cómo se crea o inicializa un arreglo en PHP?,"""array(), corchetes, []""","En PHP, un arreglo se crea usando la función array() o corchetes [].",php,Spanish,FALSE,,
406,20,¿Cómo se escribe un comentario de una sola línea en PHP?,"""//, #""",Un comentario de una sola línea en PHP se escribe usando // o # al inicio de la línea.,php,Spanish,FALSE,,
407,20,¿Qué es un ciclo for en PHP?,"""ciclo for, PHP, iterar, bloque de código, número de veces""",Un ciclo for en PHP se utiliza para ejecutar un bloque de código un número específico de veces.,php,Spanish,FALSE,,
408,20,¿Qué es un if en PHP?,"""if, PHP, estructura condicional, bloque de código, condición verdadera""",Un if en PHP es una estructura condicional que ejecuta un bloque de código si una condición es verdadera.,php,Spanish,FALSE,,
409,20,¿Qué es un bucle while en PHP?,"""bucle while, PHP, repetir, condición verdadera, bloque de código""",Un bucle while en PHP repite un bloque de código mientras una condición sea verdadera.,php,Spanish,FALSE,,
410,20,¿Cómo se definen las funciones en PHP?,"""definir función, PHP, function, nombre de la función, paréntesis""","En PHP, una función se define usando la palabra clave function seguida del nombre de la función y los paréntesis.",php,Spanish,FALSE,,
411,20,¿Qué es una constante en PHP?,"""constante, PHP, valor inmutable, define(), declaración""","Una constante en PHP es un valor que no puede cambiar una vez definido, y se declara usando define().",php,Spanish,FALSE,,
412,20,¿Cómo se conecta PHP con una base de datos MySQL?,"""conectar, PHP, MySQL, mysqli_connect(), PDO, base de datos""",PHP se conecta a una base de datos MySQL usando funciones como mysqli_connect() o PDO.,php,Spanish,FALSE,,
413,20,How do you declare a variable in PHP?,"""declare variable, PHP, $ symbol, variable name""","In PHP, a variable is declared using the $ symbol followed by the variable name.",php,English,FALSE,,
414,20,How do you print text in PHP?,"""print text, PHP, echo, print""","In PHP, text is printed using echo or print.",php,English,FALSE,,
415,20,How do you create or initialize an array in PHP?,"""array(), square brackets, []""","In PHP, an array is created using the array() function or square brackets [].",php,English,FALSE,,
416,20,How do you write a single-line comment in PHP?,"""//, #""",A single-line comment in PHP is written using // or # at the beginning of the line.,php,English,FALSE,,
417,20,What is a for loop in PHP?,"""for loop, PHP, iterate, block of code, number of times""",A for loop in PHP is used to execute a block of code a specific number of times.,php,English,FALSE,,
418,20,What is an if statement in PHP?,"""if statement, PHP, conditional structure, block of code, true condition""",An if statement in PHP is a conditional structure that executes a block of code if a condition is true.,php,English,FALSE,,
419,20,What is a while loop in PHP?,"""while loop, PHP, repeat, true condition, block of code""",A while loop in PHP repeats a block of code as long as a condition is true.,php,English,FALSE,,
420,20,How do you define functions in PHP?,"""define function, PHP, function, function name, parentheses""","In PHP, a function is defined using the function keyword followed by the function name and parentheses.",php,English,FALSE,,
421,20,What is a constant in PHP?,"""constant, PHP, immutable value, define(), declaration""","A constant in PHP is a value that cannot change once defined, and it is declared using define().",php,English,FALSE,,
422,20,How does PHP connect to a MySQL database?,"""connect, PHP, MySQL, mysqli_connect(), PDO, database""",PHP connects to a MySQL database using functions like mysqli_connect() or PDO.,php,English,FALSE,,
423,25,"Selecciona el nombre de todos los empleados en la tabla employees.
+----+-----------+------------------+----------+
| ID  | Name   | Department    | Salary  |
+----+-----------+-------------------+---------+
| 1   | John      | IT                   | 60000  |
| 2   | Jane      | HR                 | 55000  |
| 3   | Alice      | Sales              | 70000 |
| 4   | Bob       | Marketing       | 50000  |
| 5   | Charlie  | IT                    | 62000  |
+----+-----------+-------------------+----------+
","""SELECT name FROM employees;, select name from employees;""",SELECT name FROM employees;,sql,Spanish,FALSE,,
